,symbol
239,WST
240,MKTX
241,AMCR
242,ABBV
243,RJF
244,CCEP
245,O
246,DT
247,OTIS
248,ICLR
249,SNOW
250,SYY
251,ZEN
252,DVN
253,LH
254,PAGS
255,GNRC
256,DFS
257,LYFT
258,ASX
259,LYV
260,MSI
261,SIRI
262,KB
263,PINS
264,JBHT
265,MTB
266,GOLD
267,XEL
268,NICE
269,NTAP
270,HUBS
271,J
272,TRV
273,MRVL
274,YUM
275,EC
276,CAH
277,SBAC
278,CVNA
279,IEX
280,KLAC
281,SHG
282,VICI
283,DGX
284,PFG
285,ELAN
286,CE
287,STNE
288,AVY
289,MCHP
290,IFF
291,NUAN
292,RSG
293,WELL
294,HSY
295,DIDI
296,DHR
297,WIX
298,SYF
299,LSXMB
300,PTC
301,MFC
302,VLO
303,MKL
304,VTRS
305,INCY
306,TWLO
307,TME
308,GPN
309,VIAC
310,BLL
311,ED
312,LHX
313,CG
314,BSY
315,IQV
316,ZG
317,MAR
318,AFL
319,TCOM
320,ET
321,SMFG
322,WLTW
323,CAG
324,CCL
325,UDR
326,FTCH
327,CTSH
328,CHKP
329,LFC
330,GILD
331,PTON
332,SHW
333,UBS
334,NGG
335,DISCB
336,Z
337,SGEN
338,WDAY
339,DAL
340,PPD
341,AES
342,CME
343,GIS
344,WBK
345,TROW
346,PGR
347,CVE
348,DOW
349,BIP
350,WY
351,CB
352,TSN
353,EXC
354,KKR
355,LSXMA
356,TEAM
357,XPO
358,FISV
359,DB
360,ITUB
361,COUP
362,RCI
363,VOD
364,KMB
365,MXIM
366,HRL
367,LSXMK
368,ATUS
369,UAL
370,FDX
371,WPP
372,COP
373,OMC
374,ELP
375,ENTG
376,NSC
377,NET
378,ARGX
379,ZTS
380,FITB
381,ACGL
382,YUMC
383,HLT
384,CLVT
385,AFRM
386,MFG
387,NMR
388,SPOT
389,TEF
390,TXT
391,CNI
392,WAB
393,NTCO
394,TDG
395,VMW
396,LBTYB
397,PTR
398,BRO
399,PLD
400,MPC
401,WIT
402,A
403,ELS
404,FICO
405,CDW
406,ATVI
407,CPNG
408,UBER
409,EQIX
410,ETSY
411,EVRG
412,BNS
413,TEL
414,NVO
415,ON
416,CHWY
417,ABC
418,MAS
419,LKQ
420,CARR
421,LDOS
422,MOH
423,EMN
424,PLUG
425,JHX
426,MTCH
427,CSGP
428,INFO
429,PSA
430,AZO
431,LNT
432,F
433,SNP
434,BEN
435,BGNE
436,CNP
437,AEM
438,SAN
439,CAJ
440,GD
441,CGNX
442,NLOK
443,MASI
444,STM
445,RELX
446,LYG
447,ENIA
448,AEP
449,TTM
450,BCE
451,LBTYA
452,LBTYK
453,BMO
454,CDAY
455,NWSA
456,DISCA
457,PXD
458,ABMD
459,IEP
460,BIDU
461,TWTR
462,ABNB
463,RYAAY
464,VRSN
465,WPC
466,NIO
467,SUZ
468,ALC
469,OSH
470,EQNR
471,DLO
472,MGA
473,CPRT
474,CPT
475,SJR
476,AGL
477,BSX
478,FRC
479,BMRN
